id	case_no	Year	year1	pilot	commencement	status 	enddate	duration_mths	disposition	DH_no	OP_affi 	co_extract	affi_facts	value_est	med_ord_date	time_to_med	no_pl_affis	length_pl_affi	alleg_time	family_context	pers_rel_breakdown	former_partnership	joint_venture	deregdate	end2death_m	co_reg_date	b2dy	birth2death_m	Business_nature	postcode_pl	role_notes	pl_lawyers	ACN_co	asic_status	codeath	type_co	shares_no	members_no	dirs_no	regdate_to_commencement_mths	co_status	grounds_no	mthstomed	wkstomed	mthsdur	wksdur	regtocom_yrs	ANZSIC code	medorddt	medord	role_in_co	director(curr_past)	rel_a	rel_b	rel_c	rel_d	rel_e	rel_f	rel_g	rel_h	rel_i	rel_j	re_l	rel_s461	gender_pl
12	S CI 2010 03809	2010	2009-10	0	13/07/2010	0	25/05/2012	22	0	10	0	0	0	0	23/07/2010	0	5	.	.	.	.	.	.			19/09/2006			Marketing and distribution of quartz surfaces	Unknown	"other: director (20/12/2007-11/02/2001), CEO(1/1/2008-9/11/2009)"	"Schetzer Brott & Apel, Melbourne, 3000"	121 819 976	registered	0	Private Company	.	.	.	46	0	4	0	1	22.65780731	97.42857143	3.826923077	9909	23/07/2010	1	0	1				1	1					1			0
13	S CI 2010 03817	2010	2009-10	0	13/07/2010	0	3/08/2010	1	0	2	1	0	1	0	.	999	1	14	30	0	0	0	0			5/12/2006			Robotic pharmaceutical dispensing machines	Unknown	 also employee (managing affairs	"Lorraine Jones & Associates, Eltham, 3095"	122 984 981	registered	0	Private Company	.	.	.	43	0		.	.	0.697674419	3	3.615384615	42711	.	0	0		1		1	1	1			1					0
14	S CI 2010 04284	2010	2009-10	0	6/08/2010	0	9/03/2011	7	0	4	1	0	1	0	20-Aug-10	1	1	91	96	1	1	0	0	23/06/2013	27	2/02/1995	18	220	civil construction	Mickleham 3064	director and company secretary	"Collards Solicitors, Lalor, 3075"	068054482	deregistered	1	private company	2	2	2	186	1	8	0.465116279	2	7.142857143	30.71428571	15.56043956	30190	20/08/2010	1	1	1	1		1									1	0
15	S CI 2010 04301	2010	2009-10	0	9/08/2010	0	18/02/2011	6	0	4	1	1	0	0	20/08/2010	0	1	3	.	1	.	.	.	21/10/2012	20	23/04/1999	13	161	Unknown	"Mickleham, 3064"		"Collards Solicitors, Lalor, 3075"	087 268 308	deregistered	1	Private Company	2	2	2	136	1	Unknown	0.365448505	1.571428571	6.411960133	27.57142857	11.33516484	.	20/08/2010	1	1		1		1	1	1								0
16	S CI 2010 05018	2010	2010-11	0	14/09/2010	0	20/02/2014	41	0	21	1	0	1	0	14/10/2010	1	2	24	4	0	0	0	1			13/03/2007			Radiology service	"Eaast Melbourne, 3002"	; also director and employee	"Aitken Solicitors, Melbourne, 3000"	124 389 742	registered	0	Private Company	.	.	.	42	0		0.996677741	4.285714286	41.69435216	179.2857143	3.519230769	85209	14/10/2010	1	0	1	1		1	1		1		1					0
17	S CI 2010 05102	2010	2010-11	0	17/09/2010	0	28/08/2012	23	1	8	1	1	1	0	15/10/2010	1	1	13	17	0	1	1	0			30/07/1997			Auto smash repairs	"Grovedale, 3216"	 Also director and employee	"Stynes Dixon Lawyers, Melbourne, 3000"	007 436 599	registered	0	Private Company	100	2	3	158	0		0.930232558	4	23.62126246	101.5714286	13.17857143	94199	15/10/2010	1	1	1	1							1					1
18	S CI 2010 05126	2010	2010-11	0	21/09/2010	0	11/08/2011	11	0	4	0	1	0	0	9/03/2011	6	0	0	28	1	0	0	0	10/04/2012	7	26/07/2006	5	68	Property development	"Maidstone, 3012"		"Rigby Cooke Lawyers, Melbourne, 3000"	120 932 792	deregistered	1	Private Company	200	2	1	50	1		5.61461794	24.14285714	10.7641196	46.28571429	4.17032967	32110	9/03/2011	1	1		1			1	1								1
19	S CI 2010 05479	2010	2010-11	0	8/10/2010	0	18/02/2011	4	0	3	1	0	1	0	7/11/2010	1	3	12	4	0	1	0	0	15/10/2018	91	23/01/2006	12	152	Education and training (security and taxis)	"Kellyville, 2155"	"also previously an employee, manager"	"LAC Lawyers, Carlton, 3053"	118 002 216	deregistered	1	Private Company	.	4	4	56	0	10	0.996677741	4.285714286	4.418604651	19	4.722527473	81019	7/11/2010	1	1		1			1	1							1	0
20	S CI 2010 05879	2010	2010-11	0	29/10/2010	0	4/06/2012	19	0	8	1	0	1	0	26/11/2010	1	2	15	87	0	.	0	0	25/03/2013	9	18/03/2003	10	120	property sales and development	Toorak 3142		Best Hopper Solicitors Melbourn 3000	104112441	deregistered	1	private company	9	3	2	91	1	8	1.063122924	4.571428571	19.40199336	83.42857143	7.642857143	67200	26/11/2010	1	2							1							0
21	S CI 2010 06230	2010	2010-11	0	17/11/2010	0	16/12/2010	1	0	0	1	0	1	0	24/11/2010	0	4	33	6	0	.	0	0	13/10/2012	21	20/04/2006	6	77	trustee of a unit trust supply and rental of coffee carts and equipment	Brighton 3186		Madgwicks Lawyers Melbourne 3000	119345336	deregistered	1	private company	100	2	1	55	1	5	0.23255814	1	0.96345515	4.142857143	4.593406593	62400	24/11/2010	1	0		1							1					1
22	S CI 2010 06311	2010	2010-11	0	22/11/2010	0	17/12/2010	1	0	1	1	0	1	999	23/11/2010	0	1	6	6	0	.	.	.	24/06/2016	66	5/09/2000	15	189	property investment	Southbank 3006	MD	Kabo Lawyers Melbourne 3000	94374973	deregistered	1	private company	100	3	2	123	1	3	0.033222591	0.142857143	0.830564784	3.571428571	10.24725275	67120	23/11/2010	1	0	1			1					1	1				1
24	S CI 2010 06917	2010	2010-11	0	21/12/2010	0	24/01/2012	13	0	3	1	0	1	1	25/03/2011	8	1	14	66	0	1	0	1			26/05/2004			"Real estate, mortgage broking, financial planning"	"Northcote, 3070"	 Also previously director and employee	"Novatsis & Alexander, Reservoir, 3053"	109 251 729	registered	0	Private Company	.	.	.	78	0	6	3.122923588	13.42857143	13.25581395	57	6.593406593	64110	25/03/2011	1	0	1	1			1	1			1				1	0
25	S CI 2010 06934	2010	2010-11	0	21/12/2010	0	1/06/2011	6	0	4	1	0	1	1	9/03/2011	3	5	32	4	0	1	1	1	15/10/2011	4	2/08/2010	1	14	restaurant	Burwood Easr 3151	"Director, manager"	Australian Legal Advisory Centre Melbourne 3000	145548563	deregistered	1	private company	200	3	3	4	1	9	2.591362126	11.14285714	5.382059801	23.14285714	0.387362637	45110	9/03/2011	1	0	1									1	1			1
27	S CI 2011 00026	2011	2010-11	0	7/01/2011	0	3/03/2011	2	0	0	1	0	1	0	18/02/2011	1	1	4	15	0	1	0	0	21/05/2017	74	24/12/2008	8	100	Data-warehousing and business intelligence software and services	N/A		Not represented	134 743 409	deregistered	1	Private Company	.	.	.	24	0	6	1.395348837	6	1.827242525	7.857142857	2.043956044	70000	18/02/2011	1	.		1			1	1								0
28	S CI 2011 00505	2011	2010-11	0	9/02/2011	0	25/11/2011	10	0	3	1	1	1	1	25/02/2011	1	2	19	48	0	1	0	0			1/07/2008			Computer hardware and software installation/integration services	"Clifton Hill, 3068"	"Also director, previously CFO, and employee"	"Behan Legal, Port Melbourne, 3207"	131 977 047	registered	0	Private Company	100	3	3	31	0	7	0.531561462	2.285714286	9.601328904	41.28571429	2.618131868	70000	25/02/2011	1	0	1	1			1	1								0
29	S CI 2011 00537	2011	2010-11	0	10/02/2011	0	15/02/2011	0	0	0	1	1	1	1	.	999	1	20	17	0	1	0	0	22/02/2016	60	18/08/2009	6	78	migration law firm	Ivanhoe 3079	director	Noor Dean Melbourne 3000	138936320	deregistered	1	private company	40000	2	2	18	0	7	.	.	0.166112957	0.714285714	1.486263736	69310	.	0	2	1	1												0
30	S CI 2011 00728	2011	2010-11	0	18/02/2011	0	11/03/2011	1	0	0	1	1	1	0	.	999	1	3	.	1	0	0	0			1/09/2009			Retail butcher's shop	"Chadstone, 3148"	Also director and employee	"Slater & Gordon, Footscray 3011"	139 217 226	registered	0	Private Company	100	2	2	18	0	6	.	.	0.697674419	3	1.46978022	41211	.	0	1	1	1			1	1								0
31	S CI 2011 0741	2011	2010-11	0	18/02/2011	0	29/11/2013	33	0	18	1	1	1	1	9-Mar-11	1	15	117	7	0	.	.	.	08/03/2019	63	6/04/1977	41	503	carpet and wall fabric manufacturer	Mulgrave 3170	employee	"Wisewould Mahony Lawyers, Melbourne, 3000"	005305233	deregistered	1	private company	200	2	2	394	2	9	0.631229236	2.714285714	33.72093023	145	33.98626374	13310	9/03/2011	1	1					1	1				1				0
32	S CI 2011 01123	2011	2010-11	0	15/03/2011	0	19/08/2011	5	0	0	1	0	1	0	27-May-11	2	1	15	.	1	1	0	0	21/10/2011	2	29/06/2004	7	87	selling cleaning products	Frankston 3199	"CEO, founder"	Hayes & Associates Frankston 3199	109774530	deregistered	1	private company	.	2	2	81	1	3	2.425249169	10.42857143	5.215946844	22.42857143	6.730769231	33230	27/05/2011	1	.								1						0
33	S CI 2011 01876	2011	2010-11	0	20/04/2011	0	1/09/2011	4	0	2	1	0	1	0	20-May-11	1	1	7	17	1	.	0	1	02/01/2019	88	4/09/2009	9	111	CAFÉ	Glen waverlay 3150	"director, formeremployee"	Goddard Elliot Lawyers Glen Waverley 3150	139284245	deregistered	1	private company	.	3	.	19	0	5	0.996677741	4.285714286	4.451827243	19.14285714	1.629120879	45110	20/05/2011	1	0	1	1			1	1								1
34	S CI 2011 01940	2011	2010-11	0	21/04/2011	0	8/02/2012	10	0	3	1	0	1	0	5/07/2011	2	1	5	40	1	0	0	0			13/07/1972			Motorcycle repair shops	"Anakie, 3213"	also previously an employee	"Peter Falconer & Assoc, Geelong, 3220"	004 943 560	registered	0	Private Company	.	.	.	465	0	3	2	11	10	42	38.90384615	94199	5/07/2011	1	1		1												0
35	S CI 2011 02894	2011	2010-11	0	9/06/2011	0	12/08/2011	2	0	1	1	0	1	0	10/06/2011	0	5	73	2	0	1	0	0			16/09/2003			private radiology practice (medical)	Shepparton 3630	director and employee and manager	Faram Ritchie Davies Shepparton 3630	106330867	strike-off action in process	1	private company	.	3	3	93	0	5	0.033222591	0.142857143	2.126245847	9.142857143	7.755494505	85209	10/06/2011	1	0	1				1	1				1	1			0
36	S CI 2011 02969	2011	2010-11	0	14/06/2011	0	7/12/2011	6	0	2	1	0	1	0	.	999	1	9	10	1	.	.	.			30/06/1995			"trustee of family trust, owns 2 properties and shares in a company"	Narre Warren North 3804	director	Jack Bock Lawyers South Melbourne 3205	070159661	registered	0	private company	6	6	6	192	0	4	.	.	5.84717608	25.14285714	16.01098901	62400	.	0	0	1				1	1			1					0
37	S CI 2011 02971	2011	2010-11	0	14/06/2011	0	1/12/2011	6	0	2	1	0	1	1	.	999	1	13	3	1	.	0	0			25/09/1989			provides crande drivers and riggers	Narre Warren North 3804	director	Jack Bock Lawyers South Melbourne 3205	007308778	registered	0	private company	6	3	3	260	0	9	.	.	5.647840532	24.28571429	21.79120879	32920	.	0	0	1				1	1	1							0
38	S CI 2011 02983	2011	2010-11	0	14/06/2011	0	28/10/2011	4	0	1	1	1	1	1	27/07/2011	2	3	13	6	0	.	0	1			16/03/2000			software programming for health services	Narre Warren South 3805	director 2 april 2000 - 22 oct 2009	RB Legal PTY LTD Melbourne 3000	092037628	registered	0	private company	1000	5	4	135	0	5	1.428571429	6.142857143	4.518272425	19.42857143	11.28296703	70000	27/07/2011	1	0	1	1			1	1							1	0
39	S CI 2011 03934	2011	2010-11	0	27/07/2011	0	1/03/2012	7	0	4	1	1	1	0	26/09/2011	2	5	56	48	1	1	1	.	08/12/2019	93	17/07/2009	10	124	IGA supermarket	Toorak 3962	"director; secretary, employee, manager"	Rotstein Lockwood Reddy Melbourne 3000	120763591	deregistered	1	private company	10	2	2	24	0	9	2.026578073	8.714285714	7.242524917	31.14285714	2.032967033	41100	26/09/2011	1	1	1	1		1			1		1					1
40	s ci 2011 03972	2011	2010-11	0	29/07/2011	0	26/06/2012	11	1	1	1	1	1	0	13/09/2011	2	5	44	66	0	1	0	1			25/09/1999			trustee	Griffith 2680	director	Falcone & Adams Legal Practitioners Emerald 3782	071235357	external administration	1	private company	2	2	2	194	2	5	1.528239203	6.571428571	11.06312292	47.57142857	11.88186813	64190	13/09/2011	1	1	1							1	1		1			1
41	S CI 2011 04238	2011	2011-12	0	12/12/2011	0	2/05/2012	4	0	0	1	1	1	0	.	999	2	16	41	0	1	0	1	18/07/2012	2	21/03/2007	5	63	real estate agents	Melbourne 3000	Director	"Spigler and Schwarcz, Elsternwick 3185"	124527037	deregistered	1	private company	100	2	2	57	1	1	.	.	4.717607973	20.28571429	4.744505495	67200	.	0	1	1										1			0
42	S CI 2011 04318	2011	2010-11	0	16/08/2011	0	29/03/2012	7	0	3	1	0	1	1	2/09/2011	1	1	29	20	0	1	0	0			14/12/2000			REAL ESTATE AGENCY	SUNBURY 3429	director employee	Rennick & Gaynor Hawthorn East 3123	95395994	registered	0	private company	200	3	2	124	0	6	0.564784053	2.428571429	7.508305648	32.28571429	10.70604396	67200	2/09/2011	1	0	1	1			1	1					1		1	0
43	S CI 2011 04323	2011	2010-11	0	16/08/2011	0	18/10/2011	2	0	2	1	0	1	0	23/08/2011	0	1	12	24	1	0	0	1			14/08/2006			Selling tyres	China	Also a director	"Kahns Lawyers, Melbourne, 3000"	121 222 044	registered	0	Private Company	100	4	4	60	0	4	0.23255814	1	2.093023256	9	5.021978022	39220	23/08/2011	1	0	1	1			1	1						1		0
44	S CI 2011 04332	2011	2010-11	0	17/08/2011	1	25/09/1902	999	999	30	1	0	0	0	12/12/2014	40	29	.	54	0	.	1	0			11/12/2003			Mortgagre aggregation	Unknown		"Baker and McKenzie, Melbourne, 3000 then Arnold Bloch Leibler, Melbourne, 3000"	107 366 496	registered	0	Private Company	600	3	3	116	0	12	40.29900332	173.2857143	.	.	7.708791209	64110	12/12/2014	1	0		1			1	1					1			.
45	S CI 2011 04798	2011	2011-12	0	8/09/2011	0	2/09/2013	24	0	8	1	1	1	0	28/09/2011	1	3	21	26	1	.	0	0			24/06/1983			trustee	Dandenong 3175	director	Halperin & Co Pty Ltd Southbank 3006	006172372	registered	0	private company	999	4	3	290	0	9	0.664451827	2.857142857	24.08637874	103.5714286	28.30494505	64190	28/09/2011	1	0	1										1	1		0
46	S CI 2011 05224	2011	2011-12	0	3/10/2011	0	3/10/2011	5	0	3	1	1	1	0	.	1	5	20	.	1	0	1	0			29/09/1999			Taxi operation	"Mildura, 3500"	 Previously a director	"Wisewould Mahony Lawyers, Melbourne, 3000"	089 749 477	registered	0	Private Company	462000	8	3	144	0	4	.	.	0	0	12.0521978	46231	.	0	0	1	1	1		1	1			1					0
47	S CI 2011 05430	2011	2011-12	0	13/10/2011	0	5/09/2013	23	0	6	1	0	1	0	9/10/2012	12	15	151	14	0	.	0	0			28/04/1998			"elevator installation, modernisationa nd maintenance"	Elsternwick 3185	manager	Lennon Mazzeo Lawyers Melbourne 3000	082447658	registered	0	private company	.	3	3	162	0	6	12.02657807	51.71428571	23.02325581	99	13.50549451	32390	9/10/2012	1	0		1			1	1	1			1	1		1	0
48	S CI 2011 05809	2011	2011-12	0	28/10/2011	0	13/06/2014	20	0	3	1	1	0	0	2/03/2012	4	11	63	.	0	.	.	.			18/04/2002			software/computer programs	unknown		Melbourne Legal Partners Pty Ltd South Yarra 3000	100272517	registered	0	private company	400	4	3	114	0	6	4.186046512	18	20	85	9.56043956	70000	2/03/2012	1	0		1			1	1					1		1	.
49	S CI 2011 06086	2011	2011-12	0	15/11/2011	0	23/02/2012	3	0	2	1	0	1	0	.	999	1	5	5	0	1	0	0	24/05/2015	39	17/07/2007	7	94	Ringwood indoor sports	Park Orchards 3114	Director	Settle Legal Melbourne 3000	126589955	deregistered	1	Private Company	.	2	1	52	1	4	.	.	3.322259136	14.28571429	4.346153846	91139	.	0	1	1										1			0
50	S CI 2011 06455	2011	2011-12	0	29/11/2011	0	3/02/2012	2	0	1	1	1	1	0	30/11/2011	0	3	18	1	0	1	1	1			7/04/2006			IT and communications solutions and services	Axe Creek 3551	employee	O'Farrell Robertson McMahon Bendigo 3550	119175254	registered	0	Private Company	200	2	2	67	0	2	0.033222591	0.142857143	2.19269103	9.428571429	5.664835165	70000	30/11/2011	1	1		1			1	1					1		1	0
51	S CI 2011 06523	2011	2011-12	0	1/12/2011	0	22/03/2012	4	0	3	1	0	1	0	.	999	1	20	10	1	0	0	0	21/02/2013	10	21/04/2009	3	46	financial services	Taylors Lakes 3038	"Director, secretary MD"	Wainwright Ryan Eid Lwyers Melbourne 3000	136704722	deregistered	1	Private Company	.	2	2	32	1	1	.	.	3.720930233	16	2.620879121	64190	.	0	1	1				1	1					1			0
52	S CI 2011 06543	2011	2011-12	0	2/12/2011	0	26/04/2012	5	0	4	1	0	1	0	.	999	1	7	1	.	.	.	.	05/06/2015	37	1/09/2005	9	117	unknown	unknown		Armytage Corporate Lawyers Melbourne 3000	116054258	deregistered	1	Private Company	.	.	.	75	1	6	.	.	4.850498339	20.85714286	6.271978022	.	.	0	.					1	1				1	1			.
53	S CI 2011 06636	2011	2011-12	0	7/12/2011	0	20/02/2014	26	0	0	1	0	1	0	13/12/2011	0	7	84	9	0	.	1	0	05/02/2018	47	19/07/2006	11	138	financial services	melbourne 3000	"MD, Chief operating officer; direcotr"	Wantrup & Associates Melbourne 3000	120801747	deregistered	1	Private Company	.	.	.	65	0	6	0.199335548	0.857142857	26.77740864	115.1428571	5.403846154	64190	13/12/2011	1	.	1				1	1					1		1	0
54	S CI 2011 06656	2011	2011-12	0	8/12/2011	0	29/03/2012	4	0	1	1	0	1	0	14/12/2011	0	1	7	0	0	.	0	0	21/01/2017	57	11/04/2008	8	105	building works	Frankston South 3199	former director	LMS Lawyers Melbourne 3000	130597278	deregistered	1	Private Company	12	2	2	44	1	3	0.199335548	0.857142857	3.720930233	16	3.67032967	30110	14/12/2011	1	1	1	1			1	1			1				1	0
55	S CI 2011 06822	2011	2011-12	0	14/12/2011	0	31/05/2012	6	0	4	1	0	1	0	3/02/2012	2	1	18	48	0	1	0	0	28/07/2013	13	15/01/2008	5	66	automotive engineering and cylinder head reconditioning	"Noble Park, 3174"	Also director and employee	"Clayton Utz, Melbourne, 3000"	129 229 769	deregistered	1	Private Company	20	2	2	47	1	9	1.694352159	7.285714286	5.61461794	24.14285714	3.925824176	94199	3/02/2012	1	1	1	1			1	1				1				1
56	S CI 2011 06900	2011	2011-12	0	19/12/2011	0	3/09/2012	9	0	5	1	1	1	1	24/01/2012	1	2	21	15	0	.	0	0	10/01/2018	64	27/01/1999	18	227	Leisure centre/ indoor sports centre	South Morang 3752		"MW law, Greensborough 3088"	086026520	deregistered	1	private company	100	2	2	155	0	6	1.196013289	5.142857143	8.604651163	37	12.93681319	91139	24/01/2012	1	0		1			1	1								0
57	S CI 2011 06936	2011	2011-12	0	19/12/2011	0	10/02/2012	2	0	0	1	0	1	0	.	999	4	17	1	0	.	0	0			11/07/1980			Installing and servicing passenger lifts in buildings	Glen Iris 3146	MD	Foster Nicholson Jones Melbourne 3000	005697665	registered	0	Private Company	.	3	.	366	0	4	.	.	1.760797342	7.571428571	31.5467033	32390	.	0	.	1									1	1			0
58	S CI 2011 07017	2011	2011-12	0	22/12/2011	0	20/11/2012	11	0	5	1	1	1	0	2/02/2012	2	6	70	156	1	1	0	0	21/05/2014	18	16/02/1994	20	243	"trustee, farming business"	Rutherglen 3685	MD	Mills Oakley Lawyers Melbourne 3000	063558510	deregistered	1	private company	8	3	3	214	0	3	1.395348837	6	11.09634551	47.71428571	17.90659341	64190	2/02/2012	1	1	1									1	1			0
59	S CI 2012 00688	2012	2011-12	0	10/02/2012	0	18/12/2014	34	0	2	1	1	1	0	2/03/2012	1	2	14	15	0	0	0	1	19/10/2015	10	11/03/1994	21	259	buying and selling scrap metal	Ascot Vale 3032	secreatry and employee	Malkoun & Co Melbourne 3000	063906785	deregistered	1	private company	2	2	1	215	0	5	0.697674419	3	34.6179402	148.8571429	17.98076923	33221	2/03/2012	1	1											1		1	0
60	S CI 2012 01224	2012	2011-12	0	6/03/2012	0	22/11/2013	20	0	11	1	0	1	0	14/12/2012	9	6	46	8	0	.	0	0	10/09/2014	9	6/08/2008	6	73	real estate agents	Coolaroo 3048	former director and co-founder	Galbally and O'Bryan Melbourne 3000	132591292	deregistered	1	private company	17	3	1	43	1	3	9.401993355	40.42857143	20.79734219	89.42857143	3.593406593	67200	14/12/2012	1	0	1	1			1	1								0
61	S CI 2012 01263	2012	2011-12	0	7/03/2012	0	13/07/2012	4	0	4	1	0	1	1	23/03/2012	1	6	27	15	0	1	1	1	06/03/2015	31	13/08/2004	10	126	"Supply, manufacture and insatllation of aluminium windows and alucobond aluminium cladding"	Endeavour Hills 3802	direcotr and secretary and employee	Vadarlis & Associates Melbourne 3000	110506093	deregistered	1	private company	100	8	3	91	1	4	0.531561462	2.285714286	4.252491694	18.28571429	7.590659341	22230	23/03/2012	1	0	1				1	1		1		1				0
62	S CI 2012 01272	2012	2011-12	0	8/03/2012	0	20/05/2013	14	0	6	0	0	1	0	23/03/2012	1	4	34	54	0	.	0	0	27/07/2014	14	16/05/2008	6	74	bar (hospitality)	unknown		Mills Oakley Lawyers Melbourne 3000	131125749	deregistered	1	private company	1000	.	.	38	1	5	0.49833887	2.142857143	14.55149502	62.57142857	3.824175824	45200	23/03/2012	1	0					1	1								0
63	S CI 2012 01273	2012	2011-12	0	8/03/2012	0	5/06/2012	3	1	1	1	0	1	0	16/03/2012	0	5	33	9	0	0	0	1			8/10/2012			property development	"Bei Da Jie Wuxi, China"	director	Mills Oakley Lawyers Melbourne 3000	146749822	registered	0	private company	2000	2	3	17	0	3	0.265780731	1.142857143	2.956810631	12.71428571	.	32110	16/03/2012	1	0	1							1						0
64	s ci 2012 01277	2012	2011-12	0	8/03/2012	0	20/05/2013	15	0	6	1	0	1	0	23/03/2012	1	4	34	55	.	.	.	.	27/07/2014	14	16/05/2008	6	74	BAR AND NIGHTCLUB AND TRUSTEE	Unknown		Mills Oakley Lawyers Melbourne 3000	131125749	deregistered	1	private company	1000	2	1	46	1	5	0.49833887	2.142857143	14.55149502	62.57142857	3.824175824	45200	23/03/2012	1	0					1	1					1			0
65	S CI 2012 01358	2012	2011-12	0	13/03/2012	0	19/06/2012	3	0	0	1	1	1	0	.	999	2	20	28	0	1	0	0	14/03/2014	20	28/06/2007	6	80	consultin service to aviation industry	East Melbourne 3002	secretary	Harris Carlson Lawyers Melbourne 3000	126250244	deregistered	1	Private Company	100	2	2	57	0	7	.	.	3.255813953	14	4.725274725	52200	.	0	1													1	0
